seller sku code	mrp	Discount
DKUC-BSUT-103--12-18 Months-12-18M	1899	100
DKUC-BSUT-103--18-24 Months-18-24M	1899	100
DKUC-BSUT-103--2-3 Years-2-3Y	1899	100
DKUC-BSUT-103--3-4 years-3-4Y	1899	100
DKUC-BSUT-103--4-5 Years-4-5Y	1899	100
DKUC-BSUT-103--5-6 Years-5-6Y	1899	100
DKUC-BSUT-103--6-12 Months-6-12M	1899	100
DKUC-BSUT-103--6-7 Years-6-7Y	1899	100
DKUC-BSUT-104--12-18 Months-12-18M	1899	100
DKUC-BSUT-104--18-24 Months-18-24M	1899	100
DKUC-BSUT-104--2-3 Years-2-3Y	1899	100
DKUC-BSUT-104--3-4 years-3-4Y	1899	100
DKUC-BSUT-104--4-5 Years-4-5Y	1899	100
DKUC-BSUT-104--5-6 Years-5-6Y	1899	100
DKUC-BSUT-104--6-12 Months-6-12M	1899	100
DKUC-BSUT-104--6-7 Years-6-7Y	1899	100
DKUC-BSUT-110--12-18 Months-12-18M	1899	100
DKUC-BSUT-110--18-24 Months-18-24M	1899	100
DKUC-BSUT-110--2-3 Years-2-3Y	1899	100
DKUC-BSUT-110--3-4 years-3-4Y	1899	100
DKUC-BSUT-110--4-5 Years-4-5Y	1899	100
DKUC-BSUT-110--5-6 Years-5-6Y	1899	100
DKUC-BSUT-110--6-12 Months-6-12M	1899	100
DKUC-BSUT-110--6-7 Years-6-7Y	1899	100
DKUC-BSUT-114--12-18 Months-12-18M	1899	100
DKUC-BSUT-114--18-24 Months-18-24M	1899	100
DKUC-BSUT-114--2-3 Years-2-3Y	1899	100
DKUC-BSUT-114--3-4 years-3-4Y	1899	100
DKUC-BSUT-114--4-5 Years-4-5Y	1899	100
DKUC-BSUT-114--5-6 Years-5-6Y	1899	100
DKUC-BSUT-114--6-7 Years-6-7Y	1899	100
DKUC-BSUT-118--12-18 months	1899	100
DKUC-BSUT-118--18-24 months	1899	100
DKUC-BSUT-118--2-3Years	1899	100
DKUC-BSUT-118--3-4Years	1899	100
DKUC-BSUT-118--4-5Years	1899	100
DKUC-BSUT-118--5-6Years	1899	100
DKUC-BSUT-118--6-12 months	1899	100
DKUC-BSUT-118--6-7Years	1899	100
DKUC-BSUT-120--12-18 Months-12-18M	1899	100
DKUC-BSUT-120--18-24 Months-18-24M	1899	100
DKUC-BSUT-120--2-3 Years-2-3Y	1899	100
DKUC-BSUT-120--3-4 years-3-4Y	1899	100
DKUC-BSUT-120--4-5 Years-4-5Y	1899	100
DKUC-BSUT-120--5-6 Years-5-6Y	1899	100
DKUC-BSUT-120--6-12 Months-6-12M	1899	100
DKUC-BSUT-120--6-7 Years-6-7Y	1899	100
DKUC-DRS-102--2-3 Years-2-3Y	1899	100
DKUC-DRS-102--3-4 years-3-4Y	1899	100
DKUC-DRS-102--4-5 Years-4-5Y	1899	100
DKUC-DRS-102--5-6 Years-5-6Y	1899	100
DKUC-DRS-102--6-7 Years-6-7Y	1899	100
DKUC-DRS-102--7-8 Years-7-8Y	1899	100
DKUC-DRS-102--8-9 Years-8-9Y	1899	100
DKUC-DRS-102--9-10 Years-9-10Y	1899	100
DKUC-DRS-105--2-3 Years-2-3Y	1899	100
DKUC-DRS-105--3-4 years-3-4Y	1899	100
DKUC-DRS-105--4-5 Years-4-5Y	1899	100
DKUC-DRS-105--5-6 Years-5-6Y	1899	100
DKUC-DRS-105--6-7 Years-6-7Y	1899	100
DKUC-DRS-105--7-8 Years-7-8Y	1899	100
DKUC-DRS-105--8-9 Years-8-9Y	1899	100
DKUC-DRS-105--9-10 Years-9-10Y	1899	100
DKUC-DRS-107--2-3 Years-2-3Y	1899	100
DKUC-DRS-107--3-4 years-3-4Y	1899	100
